catchment,year,month,core_number,substrate_type,inorganic_g,organic_g,inorganic_gperm2,organic_gperm2,totalsediment_gperm2
99L,1998,november,1,coarse,0.05330000000000012,0.04170000000000007,2.1320000000000046,1.6680000000000028,3.8000000000000074
99L,1998,november,1,very fine,304.152,4.21040000000005,12166.079999999998,168.416000000002,12334.496
99L,1998,november,2,fine,8.9869,0.15700000000000003,359.476,6.280000000000001,365.756
99L,1998,november,2,coarse,0.1517999999999999,0.02350000000000007,6.071999999999996,0.94000000000000306,7.011999999999999
99L,1998,november,2,very fine,137.28639999999996,2.5992000000000246,5491.455999999998,103.96800000000098,5595.423999999999
99L,1998,november,3,fine,29.0993,0.38450000000000273,1163.972,15.380000000000107,1179.352
99L,1998,november,3,coarse,0.12159999999999992,0.01639999999999997,4.863999999999996,0.6559999999999988,5.519999999999995
99L,1998,november,3,very fine,264.8752,12.66160000000002,10595.008,506.4640000000009,11101.472000000002
99L,1998,november,4,fine,12.5169,0.10309999999999953,500.676,4.123999999999981,504.79999999999995
99L,1998,november,4,coarse,0.18279999999999985,0.00490000000000012,7.311999999999994,0.19600000000000503,7.507999999999999
99L,1998,november,4,very fine,244.264,4.438399999999973,9770.56,177.53599999999892,9948.095999999998
99L,1998,november,5,fine,2.8914,0.3576000000000006,115.65599999999999,14.304000000000023,129.96
99L,1998,november,5,coarse,0.04500000000000015,0.02759999999999984,1.800000000000006,1.103999999999994,2.904
99L,1998,november,5,very fine,205.16959999999995,2.508000000000038,8206.783999999998,100.32000000000151,8307.104
99L,1998,november,6,fine,9.8732,0.19309999999999936,394.928,7.723999999999976,402.652
99L,1998,november,6,coarse,0.07580000000000009,0.02499999999999991,3.0320000000000036,0.9999999999999964,4.032
99L,1998,november,6,very fine,32.52799999999999,2.264799999999994,1301.1199999999997,90.59199999999976,1391.7119999999995
99L,1998,november,7,fine,10.4929,0.3697999999999997,419.716,14.791999999999987,434.508
99L,1998,november,7,coarse,0.05869999999999997,0.01930000000000009,2.3479999999999985,0.7720000000000038,3.1200000000000023
99L,1998,november,7,very fine,22.952000000000005,1.930399999999988,918.0800000000002,77.21599999999953,995.2959999999997
99L,1998,november,8,fine,15.0025,0.17139999999999844,600.0999999999999,6.855999999999938,606.9559999999999
99L,1998,november,8,coarse,0.09949999999999992,0.01260000000000016,3.979999999999997,0.5040000000000067,4.4840000000000035
99L,1998,november,8,very fine,28.2264,1.5503999999999962,1129.056,62.01599999999985,1191.072
99L,1998,november,9,fine,7.812500000000002,0.1251999999999995,312.50000000000006,5.007999999999981,317.50800000000004
99L,1998,november,9,coarse,0.01790000000000002,0.00419999999999998,0.7160000000000007,0.16799999999999926,0.884
99L,1998,november,9,very fine,19.197600000000012,1.595999999999993,767.9040000000005,63.83999999999972,831.7440000000001
99L,1998,november,10,fine,5.771699999999999,0.1739000000000015,230.86799999999997,6.95600000000006,237.824
99L,1998,november,10,coarse,0.04699999999999993,0.01370000000000004,1.8799999999999972,0.5480000000000018,2.427999999999999
99L,1998,november,10,very fine,29.913600000000013,2.7056000000000076,1196.5440000000006,108.2240000000003,1304.768000000001
99L,1999,may,1,coarse,1.1963,0.05980000000000007,47.852,2.392000000000003,50.244
99L,1999,may,1,very fine,145.2208,1.8391999999999769,5808.831999999999,73.56799999999907,5882.399999999999
99L,1999,may,1,fine,NA,NA,NA,NA,NA
99L,1999,may,2,fine,5.443300000000001,0.17969999999999953,217.73200000000003,7.187999999999981,224.92000000000002
99L,1999,may,2,coarse,1.1514000000000002,NA,46.056000000000004,NA,NA
99L,1999,may,2,very fine,132.9088,2.2039999999999793,5316.352,88.15999999999917,5404.511999999999
99L,1999,may,3,fine,7.9842,0.5342999999999991,319.368,21.371999999999964,340.73999999999995
99L,1999,may,3,coarse,0.6196000000000002,0.37400000000000005,24.784000000000006,14.960000000000004,39.744000000000014
99L,1999,may,3,very fine,59.58399999999999,3.480799999999988,2383.359999999999,139.23199999999952,2522.5919999999987
99L,1999,may,4,fine,16.909300000000002,0.2804000000000002,676.3720000000001,11.216000000000008,687.5880000000001
99L,1999,may,4,coarse,0.5414999999999999,0.05740000000000034,21.659999999999993,2.2960000000000136,23.956000000000007
99L,1999,may,4,very fine,56.89360000000005,1.823999999999927,2275.744000000002,72.9599999999971,2348.7039999999993
99L,1999,may,5,fine,23.5566,0.3979999999999997,942.2639999999999,15.919999999999987,958.1839999999999
99L,1999,may,5,coarse,0.9796,0.04179999999999983,39.184,1.6719999999999935,40.855999999999995
99L,1999,may,5,very fine,408.2112000000001,6.171199999999942,16328.448000000002,246.84799999999768,16575.296
99L,1999,may,6,fine,8.403400000000001,0.22799999999999976,336.136,9.11999999999999,345.25600000000003
99L,1999,may,6,coarse,0.3446,0.03489999999999993,13.784,1.3959999999999972,15.179999999999998
99L,1999,may,6,very fine,37.817599999999985,1.6720000000000184,1512.7039999999993,66.88000000000073,1579.584
99L,1999,may,7,fine,6.865099999999999,2.3416000000000023,274.6039999999999,93.6640000000001,368.26800000000003
99L,1999,may,7,coarse,1.0823,2.0778,43.292,83.112,126.404
99L,1999,may,7,very fine,83.5392,12.965600000000023,3341.5679999999998,518.6240000000009,3860.192000000001
99L,1999,may,8,fine,6.878099999999999,0.21310000000000073,275.12399999999997,8.52400000000003,283.648
99L,1999,may,8,coarse,0.23360000000000003,0.03400000000000003,9.344000000000001,1.3600000000000012,10.704000000000002
99L,1999,may,8,very fine,250.3896,5.076799999999963,10015.583999999999,203.07199999999852,10218.655999999997
99L,1999,may,9,fine,7.9538,0.40099999999999886,318.152,16.039999999999957,334.19199999999995
99L,1999,may,9,coarse,0.6557999999999999,NA,26.231999999999996,NA,NA
99L,1999,may,9,very fine,36.844800000000035,1.9151999999999916,1473.7920000000013,76.60799999999966,1550.400000000001
99L,1999,may,10,fine,16.1151,0.7121999999999993,644.604,28.48799999999997,673.092
99L,1999,may,10,coarse,0.19290000000000007,0.06620000000000004,7.716000000000003,2.6480000000000015,10.364000000000004
99L,1999,may,10,very fine,84.0256,5.320000000000022,3361.024,212.8000000000009,3573.824000000001
99L,1999,november,1,fine,4.207599999999999,0.1772000000000009,168.30399999999997,7.0880000000000365,175.392
99L,1999,november,1,coarse,0.11060000000000005,0.04699999999999993,4.424000000000001,1.8799999999999972,6.3039999999999985
99L,1999,november,1,very fine,38.6536,2.0064000000000135,1546.1439999999998,80.25600000000054,1626.4000000000003
99L,1999,november,2,fine,5.7974000000000006,0.1357999999999997,231.89600000000002,5.431999999999988,237.328
99L,1999,november,2,coarse,0.0967,0.02309999999999989,3.8679999999999994,0.923999999999996,4.791999999999995
99L,1999,november,2,very fine,131.6168,2.371199999999959,5264.6720000000005,94.84799999999836,5359.519999999999
99L,1999,november,3,fine,2.6174999999999997,0.3363000000000005,104.69999999999999,13.45200000000002,118.15200000000002
99L,1999,november,3,coarse,0.17890000000000006,0.1602999999999999,7.156000000000002,6.4119999999999955,13.567999999999998
99L,1999,november,3,very fine,155.75440000000003,2.158399999999972,6230.176000000001,86.33599999999888,6316.512000000001
99L,1999,november,4,fine,14.643200000000002,0.2792999999999992,585.7280000000001,11.171999999999969,596.9000000000001
99L,1999,november,4,coarse,0.40459999999999985,0.20150000000000023,16.183999999999994,8.06000000000001,24.244000000000003
99L,1999,november,4,very fine,47.01359999999998,3.1616000000000284,1880.5439999999992,126.46400000000114,2007.0080000000003
99L,1999,november,5,fine,13.5265,0.21669999999999945,541.06,8.667999999999978,549.728
99L,1999,november,5,coarse,1.4452,0.05719999999999991,57.808,2.2879999999999967,60.096
99L,1999,november,5,very fine,47.37840000000001,1.7783999999999764,1895.1360000000004,71.13599999999906,1966.2719999999995
99L,1999,november,6,fine,8.992999999999999,0.22490000000000163,359.7199999999999,8.996000000000066,368.716
99L,1999,november,6,coarse,0.5720999999999998,0.06620000000000024,22.883999999999993,2.6480000000000103,25.532000000000004
99L,1999,november,6,very fine,63.39920000000001,4.088799999999992,2535.9680000000003,163.55199999999968,2699.52
99L,1999,november,7,fine,10.2818,0.347999999999999,411.272,13.91999999999996,425.19199999999995
99L,1999,november,7,coarse,0.8097999999999999,0.10769999999999992,32.39199999999999,4.307999999999996,36.69999999999999
99L,1999,november,7,very fine,139.44479999999996,1.2768000000000086,5577.791999999998,51.072000000000344,5628.863999999998
99L,1999,november,8,fine,11.5418,0.17620000000000147,461.67199999999997,7.048000000000059,468.72
99L,1999,november,8,coarse,0.4948999999999999,0.02450000000000018,19.795999999999996,0.9800000000000075,20.776000000000003
99L,1999,november,8,very fine,79.22239999999998,3.556800000000024,3168.895999999999,142.27200000000096,3311.1679999999997
99L,1999,november,9,fine,4.122400000000001,0.4233999999999991,164.89600000000002,16.935999999999964,181.832
99L,1999,november,9,coarse,0.2974000000000001,0.1484000000000001,11.896000000000004,5.9360000000000035,17.832000000000008
99L,1999,november,9,very fine,76.66880000000003,2.507999999999953,3066.7520000000013,100.31999999999812,3167.071999999999
99L,1999,november,10,fine,4.1005,0.4181999999999997,164.02,16.727999999999987,180.748
99L,1999,november,10,coarse,0.04469999999999996,0.09889999999999997,1.7879999999999985,3.955999999999999,5.743999999999998
99L,1999,november,10,very fine,87.84080000000002,6.125600000000034,3513.6320000000005,245.02400000000137,3758.6560000000018
99L,2000,may,1,fine,11.9952,0.15289999999999893,479.808,6.115999999999957,485.924
99L,2000,may,1,coarse,0.30510000000000015,0.01289999999999991,12.204000000000006,0.5159999999999965,12.720000000000002
99L,2000,may,1,very fine,88.8744,6.216800000000035,3554.9759999999997,248.6720000000014,3803.648000000001
99L,2000,may,2,fine,13.3585,0.19399999999999903,534.3399999999999,7.759999999999963,542.0999999999999
