catchment,year,month,distance_m,width_m,rockyoutcrop_percent,boulder_percent,rubble_percent,gravel_percent,detritus_percent,sandsilt_percent,woodbarrier_count,rockbarrier_count,smallbranches_count,largebranches_count,totalbranches_count,trees_count,largeleafpack_count,smallleafpack_count,run_percent,riffle_percent,pool_percent,plungepool_percent,falls_percent,deciduous_percent,coniferous_percent,canopyarea_percent,slope,depth1_cm,depth2_cm,depth3_cm,depth4_cm,depth5_cm
31,2000,july,220,1,NA,NA,NA,NA,NA,NA,1,0,35,0,NA,0,0,0,NA,NA,NA,NA,NA,100,0,0,NA,1,1,1,1,1
31,2000,july,230,1.2,NA,NA,NA,NA,NA,NA,0,0,500,3,NA,2,0,0,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,2000,july,240,1.2,NA,NA,NA,NA,NA,NA,0,0,75,0,NA,0,0,0,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,2000,july,250,1.2,NA,NA,NA,NA,NA,NA,0,0,55,0,NA,0,0,3,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,2000,july,260,1.3,NA,NA,NA,NA,NA,NA,0,0,95,0,NA,0,0,13,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,2000,july,270,1,NA,NA,NA,NA,NA,NA,0,0,150,0,NA,0,0,2,NA,NA,NA,NA,NA,100,0,30,NA,NA,NA,NA,NA,NA
31,2000,july,280,1.2,NA,NA,NA,NA,NA,NA,0,0,300,4,NA,1,0,0,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,2000,july,290,0.5,NA,NA,NA,NA,NA,NA,0,0,150,0,NA,0,0,0,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA
31,2000,july,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1996,august,10,0.5,0,0,30,30,0,40,0,0,NA,0,15,2,0,6,0,95,0,0,5,60,40,100,low,NA,NA,NA,NA,NA
32,1996,august,20,0.6,0,20,40,40,0,0,0,0,NA,0,13,3,0,6,0,100,0,0,0,70,30,60,moderate,NA,NA,NA,NA,NA
