catchment,year,replicate,position,date_in,date_out,daysout_number,initialmass_g,massloss_g
32,2000,5,surface,2000-05-16,2000-07-25,70,0.1086,0.0083
32,2000,1,surface,2000-05-16,2000-08-08,84,0.1082,NA
32,2000,2,surface,2000-05-16,2000-08-08,84,0.1147,NA
32,2000,3,surface,2000-05-16,2000-08-08,84,0.1161,NA
32,2000,4,surface,2000-05-16,2000-08-08,84,0.1153,NA
32,2000,5,surface,2000-05-16,2000-08-08,84,0.1125,NA
32,2001,1,surface,2001-05-31,2001-07-09,39,0.1688,0.0404
32,2001,2,surface,2001-05-31,2001-07-09,39,0.1427,0.0363
32,2001,3,surface,2001-05-31,2001-07-09,39,0.1711,0.0388
32,2001,4,surface,2001-05-31,2001-07-09,39,0.1535,0.0380
32,2001,5,surface,2001-05-31,2001-07-09,39,0.1746,0.0371
32,2001,1,surface,2001-05-31,2001-06-20,20,0.1487,0.0311
32,2001,2,surface,2001-05-31,2001-06-20,20,0.1703,0.0235
32,2001,3,surface,2001-05-31,2001-06-20,20,0.1688,0.0267
32,2001,4,surface,2001-05-31,2001-06-20,20,0.1806,0.0323
32,2001,5,surface,2001-05-31,2001-06-20,20,0.1664,0.0294
32,2001,1,surface,2001-09-20,2001-10-16,26,0.1445,0.0289
32,2001,2,surface,2001-09-20,2001-10-16,26,0.1535,0.0322
32,2001,3,surface,2001-09-20,2001-10-16,26,0.1423,0.0314
32,2001,4,surface,2001-09-20,2001-10-16,26,0.1323,0.0443
32,2001,5,surface,2001-09-20,2001-10-16,26,0.1326,0.0245
33,2001,1,surface,2001-05-31,2001-07-09,39,0.1663,0.0501
33,2001,2,surface,2001-05-31,2001-07-09,39,0.1855,0.0489
33,2001,3,surface,2001-05-31,2001-07-09,39,0.1844,0.0526
33,2001,4,surface,2001-05-31,2001-07-09,39,0.1572,0.0512
33,2001,5,surface,2001-05-31,2001-07-09,39,0.1684,0.0487
33,2001,1,surface,2001-05-31,2001-06-20,20,0.1567,0.0247
33,2001,2,surface,2001-05-31,2001-06-20,20,0.196,0.0301
33,2001,3,surface,2001-05-31,2001-06-20,20,0.1838,0.0328
33,2001,4,surface,2001-05-31,2001-06-20,20,0.1695,0.0308
33,2001,5,surface,2001-05-31,2001-06-20,20,0.153,0.0225
33,2001,1,surface,2001-09-20,2001-10-16,26,0.1687,0.0306
33,2001,2,surface,2001-09-20,2001-10-16,26,0.1595,0.0351
33,2001,4,surface,2001-09-20,2001-10-16,26,0.1624,0.0345
34L,2001,1,surface,2001-05-31,2001-07-09,39,0.186,0.0660
34L,2001,2,surface,2001-05-31,2001-07-09,39,0.2049,0.0628
34L,2001,3,surface,2001-05-31,2001-07-09,39,0.1843,0.0590
34L,2001,4,surface,2001-05-31,2001-07-09,39,0.1608,0.0637
34L,2001,5,surface,2001-05-31,2001-07-09,39,0.1601,0.0691
34L,2001,1,surface,2001-05-31,2001-06-20,20,0.1738,0.0363
34L,2001,2,surface,2001-05-31,2001-06-20,20,0.1761,0.0336
34L,2001,3,surface,2001-05-31,2001-06-20,20,0.2012,0.0381
34L,2001,4,surface,2001-05-31,2001-06-20,20,0.1863,0.0342
34L,2001,5,surface,2001-05-31,2001-06-20,20,0.1602,0.0274
34L,2001,1,surface,2001-09-20,2001-10-16,26,0.1371,0.0304
34L,2001,2,surface,2001-09-20,2001-10-16,26,0.1563,0.0330
34L,2001,3,surface,2001-09-20,2001-10-16,26,0.169,0.0389
34L,2001,4,surface,2001-09-20,2001-10-16,26,0.177,0.0375
34L,2001,5,surface,2001-09-20,2001-10-16,26,0.1635,0.0372
34M,2001,1,surface,2001-05-31,2001-07-09,39,0.1751,0.0456
34M,2001,2,surface,2001-05-31,2001-07-09,39,0.1703,0.0504
34M,2001,3,surface,2001-05-31,2001-07-09,39,0.1566,0.0595
34M,2001,4,surface,2001-05-31,2001-07-09,39,0.154,0.0394
34M,2001,5,surface,2001-05-31,2001-07-09,39,0.2183,NA
34M,2001,1,surface,2001-05-31,2001-06-20,20,0.1427,0.0254
34M,2001,2,surface,2001-05-31,2001-06-20,20,0.168,0.0267
34M,2001,3,surface,2001-05-31,2001-06-20,20,0.1482,0.0338
